Step,MeanTrust,TrustStdDev
0,0.5,0.0
1,0.5005230903625488,9.56891540226934e-07
2,0.5010728240013123,2.087567736452911e-06
3,0.5016494393348694,3.537164047884289e-06
4,0.5022545456886292,4.2194719753752e-06
5,0.5028852224349976,4.56064117315691e-06
6,0.5035476088523865,5.592586148850387e-06
7,0.5042359828948975,6.6497236730356235e-06
8,0.5049430131912231,7.691576684010215e-06
9,0.5056759715080261,8.762474863033276e-06
10,0.5064294338226318,9.474993021285627e-06
11,0.5072047710418701,1.033752596413251e-05
12,0.5079914927482605,1.0525903235247824e-05
13,0.5087899565696716,1.1207557690795511e-05
14,0.5096056461334229,1.220047488459386e-05
15,0.5104309916496277,1.3213197235018015e-05
16,0.5112512111663818,1.363904812023975e-05
17,0.512073814868927,1.4072411431698129e-05
18,0.5129032135009766,1.492885439802194e-05
19,0.5137217044830322,1.5783340131747536e-05
20,0.5145410895347595,1.6963433154160157e-05
21,0.5153674483299255,1.8606873709359206e-05
22,0.5161973834037781,2.0548566681100056e-05
23,0.5170300602912903,2.2816619093646295e-05
24,0.5178635120391846,2.5111618015216663e-05
25,0.5187022686004639,2.84690540865995e-05
26,0.5195448994636536,3.2076321076601744e-05
27,0.5203945636749268,3.5520562960300595e-05
28,0.5212410688400269,3.848737105727196e-05
29,0.5220891237258911,4.170141619397327e-05
30,0.5229334235191345,4.428219108376652e-05
31,0.5237686038017273,4.6861416194587946e-05
32,0.5246040225028992,4.8103323933901265e-05
33,0.5254408121109009,4.876982711721212e-05
34,0.5262744426727295,4.908748087473214e-05
35,0.5271035432815552,4.885324597125873e-05
36,0.5279309153556824,4.8310772399418056e-05
37,0.5287579894065857,4.6722816477995366e-05
38,0.5295876860618591,4.4137566874269396e-05
39,0.530420184135437,4.128174623474479e-05
40,0.5312485694885254,3.884754914906807e-05
41,0.5320791602134705,3.748801464098506e-05
42,0.5329160094261169,3.653504609246738e-05
43,0.5337505340576172,3.606401151046157e-05
44,0.5345852971076965,3.5620298149297014e-05
45,0.5354169011116028,3.524824569467455e-05
46,0.5362484455108643,3.5412260331213474e-05
47,0.5370871424674988,3.533175549819134e-05
48,0.5379254817962646,3.530313551891595e-05
49,0.5387599468231201,3.511990507831797e-05
50,0.5395921468734741,3.5182245483156294e-05
51,0.5404252409934998,3.5529319575289264e-05
52,0.5412645936012268,3.605450183385983e-05
53,0.5420924425125122,3.6952667869627476e-05
54,0.5429233908653259,3.822843063971959e-05
55,0.543759822845459,4.0163395169656724e-05
56,0.5446016788482666,4.296727274777368e-05
57,0.5454416871070862,4.680148413171992e-05
58,0.5462843775749207,5.109646008349955e-05
59,0.5471285581588745,5.626590791507624e-05
60,0.5479795932769775,6.137372110970318e-05
61,0.5488269329071045,6.551598198711872e-05
62,0.5496677160263062,6.984563515288755e-05
63,0.5505082011222839,7.38671442377381e-05
64,0.5513524413108826,7.79987167334184e-05
65,0.5521949529647827,8.239046292146668e-05
66,0.5530436038970947,8.626654016552493e-05
67,0.5538983941078186,8.966751920524985e-05
68,0.5547510385513306,9.214465535478666e-05
69,0.5556009411811829,9.389779734192416e-05
70,0.5564479827880859,9.60412435233593e-05
71,0.5572923421859741,9.760626562638208e-05
72,0.5581321716308594,9.896623669192195e-05
73,0.558975100517273,9.980311006074771e-05
74,0.5598254203796387,0.00010080719948746264
75,0.5606712698936462,0.00010160414240090176
76,0.5615141987800598,0.00010246755118714646
77,0.5623512268066406,0.000103576916444581
78,0.5631738305091858,0.00010454864968778566
79,0.5640036463737488,0.00010580840898910537
80,0.564844012260437,0.00010740856669144705
81,0.5656828284263611,0.0001084156465367414
82,0.5665244460105896,0.00010951669537462294
