Step,Intensity,PhaseEntropy,AvgEnergy
0,0.1,1.9958536266528564,9.989312171936035
1,0.1,1.9104251344986816,9.97925090789795
2,0.1,1.9809837333540976,9.968064308166504
3,0.1,1.951250690823172,9.958197593688965
4,0.1,1.9373467540218268,9.948625564575195
5,0.1,1.9480373472370838,9.937567710876465
6,0.1,1.9898244583898188,9.926538467407227
7,0.1,1.939616173870114,9.915176391601562
8,0.1,1.9663387708930167,9.905059814453125
9,0.1,1.9058945073965663,9.892525672912598
10,0.1,1.9773755839047709,9.884578704833984
11,0.1,1.9858349011461582,9.874879837036133
12,0.1,1.974260138703209,9.867311477661133
13,0.1,1.9744894033980525,9.858182907104492
14,0.1,1.969734892948779,9.849739074707031
15,0.1,1.98356349004489,9.839869499206543
16,0.1,1.977375583904771,9.82965087890625
17,0.1,1.9090296249507597,9.820852279663086
18,0.1,1.9697348929487792,9.812129974365234
19,0.1,1.9539872636174476,9.801613807678223
20,0.1,1.9242036624488854,9.79214859008789
21,0.1,1.9836796919474973,9.78156566619873
22,0.1,1.9772170014624826,9.77099609375
23,0.1,1.9858349011461582,9.760737419128418
24,0.1,1.937465233424859,9.752230644226074
25,0.1,1.9668821908001721,9.74156665802002
26,0.1,1.9820681692545432,9.732390403747559
27,0.1,1.9971803988942642,9.723123550415039
28,0.1,1.8970905746423008,9.71533203125
29,0.1,1.9898244583898188,9.703987121582031
30,0.1,1.9625745152068985,9.695182800292969
31,0.1,1.9275616725870135,9.684210777282715
32,0.1,1.9715667056067312,9.676803588867188
33,0.1,1.9690753436872923,9.667908668518066
34,0.1,1.9744894033980525,9.658933639526367
35,0.1,1.9539872636174478,9.650590896606445
36,0.1,1.9539872636174476,9.640846252441406
37,0.1,1.9553638032014458,9.632590293884277
38,0.1,1.8754344998393981,9.623676300048828
39,0.1,1.970912893419756,9.614824295043945
40,0.1,1.956803088294397,9.604559898376465
41,0.1,1.9956764763856563,9.593952178955078
42,0.1,1.9820681692545432,9.58449935913086
43,0.1,1.987446423839112,9.57575511932373
44,0.1,1.9451030431571024,9.567057609558105
45,0.1,1.9300016322372207,9.558669090270996
46,0.1,1.9152905932956885,9.548965454101562
47,0.1,1.9898244583898188,9.538541793823242
48,0.1,1.985183614456105,9.527644157409668
49,0.1,1.9468962233886244,9.518128395080566
50,0.1,1.9637667455986103,9.509695053100586
51,0.1,1.9237949406953985,9.500300407409668
52,0.1,1.9300016322372207,9.491272926330566
53,0.1,1.9588815711073062,9.481541633605957
54,0.1,1.9220097077770792,9.472152709960938
55,0.1,1.9466093157144109,9.461297988891602
56,0.1,1.987446423839112,9.453326225280762
57,0.1,1.9791544461930675,9.443558692932129
58,0.1,1.9958536266528564,9.434761047363281
59,0.1,1.990360146900588,9.425296783447266
60,0.1,1.9061335877393681,9.416839599609375
61,0.1,1.9569753258943996,9.407730102539062
62,0.1,1.9943497041442486,9.398309707641602
