Step,Intensity,Error,Confidence,RelError
0,0.1,0.01036098599433899,0.9897452631901238,0.10360882385515133
1,0.11799880002399978,0.010274481028318405,0.9898300103375268,0.08707202068332909
2,0.13599040076797075,0.013891714625060558,0.9862986210216761,0.10215141947660848
3,0.15396760583150015,0.011823348701000214,0.9883148093823104,0.07679064597064304
4,0.17192322457225545,0.02648765966296196,0.9741958323476982,0.15406589576810834
5,0.18985007498214534,0.038088057190179825,0.9633094158762661,0.20062070859362707
6,0.20774098656002743,0.038857974112033844,0.9625954893928135,0.18704920827743102
7,0.22558880317981286,0.0721350908279419,0.9327182820103047,0.3197621958579597
8,0.2433863859528214,0.08815839886665344,0.9189838547784286,0.3622143297259547
9,0.2611266160832418,0.10443791002035141,0.9054379525794918,0.3999496935133008
10,0.2788023977155551,0.09098736196756363,0.9166009019541064,0.3263495449233804
11,0.29640666077278244,0.08997996151447296,0.9174480589629829,0.3035682724254857
12,0.31393236378442113,0.06454772502183914,0.9393660579937692,0.20560963716543437
13,0.3313724967029396,0.05716162919998169,0.9459291487497145,0.17249909775139424
14,0.3487200837077024,0.032742179930210114,0.9682958820056883,0.0938921718815676
15,0.36596818599520564,0.032388173043727875,0.9686279115846128,0.08849972698016215
16,0.383109904554506,0.03022516518831253,0.9706615930093421,0.07889403519709091
17,0.400138382926733,0.02927562966942787,0.9715570554421556,0.0731635797888666
18,0.4170468099475809,0.03137437254190445,0.9695800347796312,0.0752296782132675
19,0.4338284224716844,0.035415541380643845,0.9657958182340782,0.08163471527327168
20,0.4504765080777855,0.034044958651065826,0.9670759396230912,0.07557526855522201
21,0.46698440775361316,0.051804069429636,0.9507474149080561,0.11093295115758398
22,0.48334551855939967,0.05417119339108467,0.9486125273288626,0.11207527376537303
23,0.49955329626896783,0.0656539648771286,0.9383909157747106,0.13142508305399397
24,0.5156012579873346,0.09178650379180908,0.9159299886259523,0.17801804078612812
25,0.5314829847437827,0.08877517282962799,0.918463264919139,0.16703263951109387
26,0.5471921240593631,0.10246336460113525,0.907059619492929,0.18725265376327965
27,0.5627223924878018,0.09934965521097183,0.9096287020784974,0.17655149321542635
28,0.5780675781287951,0.12253900617361069,0.8908376408305771,0.2119800501356929
29,0.5932215431126863,0.1411207616329193,0.8763314397759457,0.23788840001333622
30,0.6081782260555318,0.14038801193237305,0.8768945214581068,0.23083329044776424
31,0.6229316444835745,0.1376405507326126,0.8790122674126063,0.22095575171970605
32,0.6374758972261529,0.14290426671504974,0.8749639222838961,0.22417167953359202
33,0.6518051667760905,0.13833147287368774,0.8784787417636152,0.21222792898369064
34,0.6659137216166218,0.11714167892932892,0.89514160903781,0.17591093142519432
35,0.679795918513922,0.09184737503528595,0.9158789248979807,0.13511001967480227
36,0.6934462047743258,0.11387220770120621,0.8977690556296273,0.16421179134792901
37,0.7068591204653305,0.11752201616764069,0.8948369567065325,0.1662592255031663
38,0.7200293005994962,0.08378332108259201,0.9226936607596979,0.11636082677747607
39,0.7329514772803692,0.10084567219018936,0.90839254335301,0.1375882820730461
40,0.7456204818095705,0.07325179129838943,0.9317478042969102,0.09824259773285035
41,0.7580312467542062,0.08590992540121078,0.9208866929092027,0.11333281106320439
42,0.7701788079737734,0.06413746625185013,0.9397282134255099,0.08327596437588529
43,0.7820583066057493,0.06698291748762131,0.9372221275619453,0.08564940909448016
44,0.7936649910090724,0.09067342430353165,0.9168647348665044,0.11424632695707275
45,0.8049942186647351,0.09869637340307236,0.9101695647748678,0.12260491878048965
46,0.8160414580327294,0.08100011944770813,0.9250692779857492,0.09925968759392592
47,0.8268022903646028,0.08732245117425919,0.9196903815607276,0.1056145424091767
48,0.8372724114708985,0.08954465389251709,0.9178146085407247,0.1069479248543287
49,0.8474476334427734,0.08578519523143768,0.9209924802730872,0.10122760465484967
50,0.8573238863271069,0.09548209607601166,0.9128401126608768,0.11137212694836093
51,0.8668972197544267,0.10399511456489563,0.9058011098120828,0.11996231183212623
52,0.8761638045190046,0.09876808524131775,0.9101101619459344,0.11272774794410885
53,0.8851199341104876,0.10993965715169907,0.90094987917287,0.12420862835221966
54,0.8937620261964527,0.10258418321609497,0.9069602260057185,0.11477783283635919
55,0.9020866240552918,0.08412446826696396,0.9224033118619287,0.09325531802419196
56,0.9100903979588546,0.0641244649887085,0.939739694839749,0.0704593682925982
57,0.9177701465042949,0.07248226553201675,0.9324163504968904,0.07897640474762688
58,0.9251227978945902,0.08475469797849655,0.9218674063947897,0.09161443924735531
59,0.9321454111672183,0.08343685418367386,0.9229887243899044,0.08951046014241004
60,0.9388351773705037,0.07649248093366623,0.9289428562777117,0.08147585572160916
61,0.9451894206871608,0.08889173716306686,0.9183649447146508,0.09404637966859829
62,0.951205599504585,0.0720730796456337,0.932772232589352,0.07577016358293916
63,0.9568813074314642,0.07694880664348602,0.9285492437813163,0.0804161661741221
64,0.9622142742603024,0.0744767114520073,0.9306855973161463,0.0774012982793906
65,0.9672023668754737,0.0688934177160263,0.9355469716866296,0.07122950568150395
66,0.9718435901064387,0.08692831546068192,0.9200238744136146,0.08944672465703732
67,0.9761360875257874,0.07579491287469864,0.9295452023730413,0.0776478159095623
68,0.9800781421917846,0.09171811491250992,0.9159873655482393,0.09358235571404729
69,0.9836681773351237,0.08295972645282745,0.9233953724903905,0.08433701936008117
70,0.9869047569896141,0.08165916055440903,0.9245056450938258,0.08274261242886678
71,0.9897865865665477,0.07983408868312836,0.9260681899934395,0.08065779947803049
72,0.9923125133725178,0.07220308482646942,0.9326591334717572,0.07276237182448218
73,0.9944815270704803,0.0896061584353447,0.9177628010436197,0.0901033009592477
