Config,Initial Loss A,Final Loss A,Forgetting %,Avg Phi (Task B),Energy
Normal (Sleep Allowed),0.8526561972498894,0.8668526715040207,1.664968559453877,0.013182982379125218,0.0
Sleep Deprived,1.0318150424957275,0.9464780983328819,-8.270557991755494,0.023851758378970588,0.0873572900891304
No Glial Clearance,0.8500464016199112,0.8773173180222511,3.208164197710681,0.01370325707333178,0.008024963550269604
