Step,PruneCount,ExpandCount,AvgUsage,AvgSurprise
0,0,0,0.05118391662836075,0.00015582822379656136
1,0,0,0.09848561882972717,-0.002170179970562458
2,0,0,0.14238964021205902,-0.004847030155360699
3,0,0,0.18322862684726715,-0.007480827160179615
4,0,0,0.22159987688064575,-0.0073466794565320015
5,0,0,0.2574225664138794,-0.0068910373374819756
6,0,0,0.2916784882545471,-0.0056325774639844894
7,0,0,0.32423150539398193,-0.0036185639910399914
8,0,0,0.35441234707832336,-0.001268845284357667
9,0,0,0.382537305355072,0.0033268644474446774
10,0,0,0.4074867069721222,0.008303721435368061
11,0,0,0.4298907220363617,0.010076284408569336
12,0,0,0.45099958777427673,0.014258240349590778
13,0,0,0.4706067144870758,0.017755145207047462
14,0,0,0.48816999793052673,0.018715549260377884
15,0,0,0.5038478970527649,0.018357645720243454
16,0,0,0.518147885799408,0.014963089488446712
17,0,0,0.5311780571937561,0.014285778626799583
18,0,0,0.542506992816925,0.013092570006847382
19,0,0,0.552837610244751,0.010902504436671734
20,0,0,0.5623671412467957,0.011403597891330719
21,0,0,0.5714836120605469,0.009596120566129684
22,0,0,0.5798293352127075,0.005019302014261484
23,0,0,0.5875027179718018,0.004131679888814688
24,0,0,0.5943338871002197,0.0016573716420680285
25,0,0,0.6003974676132202,-0.0013414686545729637
26,0,0,0.6057429313659668,-0.0054969992488622665
27,0,0,0.6102921962738037,-0.010016734711825848
28,0,0,0.6144520044326782,-0.012641508132219315
29,0,0,0.6181923747062683,-0.016627049073576927
30,0,0,0.6211116313934326,-0.01993388682603836
31,0,0,0.6238957643508911,-0.02487757056951523
32,0,0,0.6263877749443054,-0.03095153532922268
33,0,0,0.6287727952003479,-0.034351613372564316
34,0,0,0.6311253309249878,-0.03877267986536026
35,0,0,0.6333091259002686,-0.043219778686761856
36,0,0,0.6351174712181091,-0.04715491086244583
37,0,0,0.6368961334228516,-0.051833346486091614
38,0,0,0.6382881999015808,-0.056428566575050354
39,0,0,0.6389658451080322,-0.060024965554475784
40,0,0,0.6389644145965576,-0.06481992453336716
41,0,0,0.6391177773475647,-0.06793972104787827
42,0,0,0.6397423148155212,-0.07154316455125809
43,0,0,0.6400964856147766,-0.07502506673336029
44,0,0,0.6404174566268921,-0.07872970402240753
45,0,0,0.6406048536300659,-0.08156838268041611
46,0,0,0.6406751275062561,-0.08410327881574631
47,0,0,0.640791654586792,-0.08731454610824585
48,0,0,0.6410465836524963,-0.0882449820637703
49,0,0,0.6413731575012207,-0.08998897671699524
50,0,0,0.6413695812225342,-0.09078361093997955
51,0,0,0.6414362192153931,-0.09056389331817627
52,0,0,0.6415210962295532,-0.08845039457082748
53,0,0,0.6415214538574219,-0.08770731091499329
54,0,0,0.6414041519165039,-0.08391301333904266
55,0,0,0.6415425539016724,-0.08068431168794632
56,0,0,0.6415172815322876,-0.07717123627662659
57,0,0,0.6411149501800537,-0.07422898709774017
58,0,0,0.6406230926513672,-0.069416843354702
59,0,0,0.6400636434555054,-0.06258273124694824
60,0,0,0.6394373178482056,-0.05722133815288544
61,0,0,0.6387049555778503,-0.05118895694613457
62,0,0,0.6381272077560425,-0.04553104564547539
63,0,0,0.6378699541091919,-0.039331693202257156
64,0,0,0.6382189989089966,-0.03190765529870987
65,0,0,0.6391801834106445,-0.024988431483507156
66,0,0,0.6402945518493652,-0.015699179843068123
67,0,0,0.6412292718887329,-0.0029700712766498327
68,0,0,0.6418443322181702,0.009415088221430779
69,0,0,0.6424497365951538,0.018884863704442978
70,0,0,0.6431581974029541,0.02707720547914505
71,0,0,0.6439908146858215,0.03533770516514778
72,0,0,0.6446550488471985,0.04405295103788376
73,0,0,0.6452109813690186,0.04975029081106186
74,0,0,0.6457716226577759,0.05676090717315674
75,0,0,0.6459926962852478,0.06506675481796265
76,0,0,0.646166205406189,0.06743268668651581
77,0,0,0.6464583277702332,0.06651175022125244
78,0,0,0.6466940641403198,0.06652586162090302
79,0,0,0.6467380523681641,0.06825663149356842
80,0,0,0.646285355091095,0.06902463734149933
81,0,0,0.6458727121353149,0.06646062433719635
82,0,0,0.6453423500061035,0.06376169621944427
83,0,0,0.6446282863616943,0.061033863574266434
84,0,0,0.6441580057144165,0.058411139994859695
85,0,0,0.6438531279563904,0.054441820830106735
86,0,0,0.6433629393577576,0.05095584690570831
87,0,0,0.6429606676101685,0.047340694814920425
88,0,0,0.642601490020752,0.04447486624121666
89,0,0,0.6424814462661743,0.043142035603523254
90,0,0,0.642166256904602,0.040726035833358765
91,0,0,0.6420718431472778,0.037646304816007614
92,0,0,0.6422662734985352,0.03536021709442139
93,0,0,0.6426964998245239,0.02983255311846733
94,0,0,0.643457293510437,0.025137804448604584
95,0,0,0.6447035670280457,0.020704125985503197
96,0,0,0.646251380443573,0.015113584697246552
97,0,0,0.6483909487724304,0.01194456871598959
98,0,0,0.650516152381897,0.006597401108592749
99,0,0,0.6524825692176819,0.0038418741896748543
100,0,0,0.6544978618621826,0.00013423943892121315
101,0,0,0.6560599207878113,-0.0024070602376013994
102,0,0,0.6573712825775146,-0.006960861850529909
103,0,0,0.6583364009857178,-0.008469206281006336
104,0,0,0.6591423749923706,-0.011813035234808922
105,0,0,0.6600036025047302,-0.015136641450226307
106,0,0,0.6605689525604248,-0.019409604370594025
107,0,0,0.6610167622566223,-0.020144972950220108
108,0,0,0.6613340377807617,-0.021133461967110634
109,0,0,0.6613171696662903,-0.02262789011001587
110,0,0,0.6613813638687134,-0.026068268343806267
111,0,0,0.6616386771202087,-0.031300827860832214
112,0,0,0.6615039110183716,-0.03644004091620445
113,0,0,0.6615211367607117,-0.04022243618965149
114,0,0,0.6618672609329224,-0.042965345084667206
115,0,0,0.6621896028518677,-0.04470779374241829
116,0,0,0.6626108884811401,-0.047322507947683334
117,0,0,0.6624743938446045,-0.04884810745716095
118,0,0,0.6617569923400879,-0.05208193138241768
119,0,0,0.6613067388534546,-0.05377040430903435
120,0,0,0.6613926291465759,-0.05690484866499901
121,0,0,0.6612749099731445,-0.057946063578128815
122,0,0,0.6608935594558716,-0.05725327134132385
123,0,0,0.6605633497238159,-0.05993597209453583
124,0,0,0.6600472331047058,-0.05920708179473877
125,0,0,0.6594560742378235,-0.057803310453891754
126,0,0,0.6591746807098389,-0.05761853978037834
127,0,0,0.6588584184646606,-0.05784521624445915
128,0,0,0.658556342124939,-0.058376967906951904
