seq,improvement
"(2, 3, 0)",0.022050082683563232
"(0, 2, 3)",0.013999681919813156
"(3, 0, 2)",0.007950495928525925
"(2, 1, 2)",0.0078269112855196
"(3, 3, 0)",0.007444225355154938
"(1, 2, 3)",0.007239524275064468
"(2, 1, 0)",0.007027174346148968
"(2, 3, 2)",0.006820185109972954
"(1, 1, 3)",0.005604341541501609
"(0, 0, 3)",0.005411199294030666
